file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,028e97d3,timeturtles,2026-04-30,23:16:46,-07:00,2026-04-30T23:16:46-07:00,0,10
style.css,2,css,f17a3134,timeturtles,2026-04-10,14:07:38,-07:00,2026-04-10T14:07:38-07:00,0,4
style.css,3,css,f17a3134,timeturtles,2026-04-10,14:07:38,-07:00,2026-04-10T14:07:38-07:00,1,22
style.css,4,css,f17a3134,timeturtles,2026-04-10,14:07:38,-07:00,2026-04-10T14:07:38-07:00,1,32
style.css,5,css,f17a3134,timeturtles,2026-04-10,14:07:38,-07:00,2026-04-10T14:07:38-07:00,0,0
style.css,6,css,7e9a4c1b,timeturtles,2026-04-10,15:05:41,-07:00,2026-04-10T15:05:41-07:00,0,0
style.css,7,css,784a0ff6,timeturtles,2026-04-01,23:06:26,-07:00,2026-04-01T23:06:26-07:00,0,4
style.css,8,css,784a0ff6,timeturtles,2026-04-01,23:06:26,-07:00,2026-04-01T23:06:26-07:00,1,23
style.css,9,css,3fa843c2,timeturtles,2026-04-08,17:02:52,-07:00,2026-04-08T17:02:52-07:00,1,15
style.css,10,css,bf72e975,timeturtles,2026-04-10,08:46:06,-07:00,2026-04-10T08:46:06-07:00,1,18
style.css,11,css,bf72e975,timeturtles,2026-04-10,08:46:06,-07:00,2026-04-10T08:46:06-07:00,1,12
style.css,12,css,524348a6,timeturtles,2026-04-08,17:50:04,-07:00,2026-04-08T17:50:04-07:00,0,0
style.css,13,css,bf72e975,timeturtles,2026-04-10,08:46:06,-07:00,2026-04-10T08:46:06-07:00,0,0
style.css,14,css,028e97d3,timeturtles,2026-04-30,23:16:46,-07:00,2026-04-30T23:16:46-07:00,0,21
style.css,15,css,524348a6,timeturtles,2026-04-08,17:50:04,-07:00,2026-04-08T17:50:04-07:00,0,3
style.css,16,css,db7352ed,timeturtles,2026-04-16,23:31:49,-07:00,2026-04-16T23:31:49-07:00,1,39
style.css,17,css,524348a6,timeturtles,2026-04-08,17:50:04,-07:00,2026-04-08T17:50:04-07:00,1,12
style.css,18,css,bc95a3b1,Benson Zhu,2026-04-09,22:48:02,-07:00,2026-04-09T22:48:02-07:00,1,18
style.css,19,css,bc95a3b1,Benson Zhu,2026-04-09,22:48:02,-07:00,2026-04-09T22:48:02-07:00,1,23
style.css,20,css,bc95a3b1,Benson Zhu,2026-04-09,22:48:02,-07:00,2026-04-09T22:48:02-07:00,1,25
style.css,21,css,db7352ed,timeturtles,2026-04-16,23:31:49,-07:00,2026-04-16T23:31:49-07:00,1,39
style.css,22,css,524348a6,timeturtles,2026-04-08,17:50:04,-07:00,2026-04-08T17:50:04-07:00,0,0
style.css,23,css,524348a6,timeturtles,2026-04-08,17:50:04,-07:00,2026-04-08T17:50:04-07:00,0,0
style.css,24,css,524348a6,timeturtles,2026-04-08,17:50:04,-07:00,2026-04-08T17:50:04-07:00,0,5
style.css,25,css,524348a6,timeturtles,2026-04-08,17:50:04,-07:00,2026-04-08T17:50:04-07:00,1,6
style.css,26,css,bc95a3b1,Benson Zhu,2026-04-09,22:48:02,-07:00,2026-04-09T22:48:02-07:00,1,20
style.css,27,css,bc95a3b1,Benson Zhu,2026-04-09,22:48:02,-07:00,2026-04-09T22:48:02-07:00,1,13
style.css,28,css,bc95a3b1,Benson Zhu,2026-04-09,22:48:02,-07:00,2026-04-09T22:48:02-07:00,1,17
style.css,29,css,bc95a3b1,Benson Zhu,2026-04-09,22:48:02,-07:00,2026-04-09T22:48:02-07:00,1,13
style.css,30,css,c1fc8081,timeturtles,2026-04-09,23:29:44,-07:00,2026-04-09T23:29:44-07:00,0,0
style.css,31,css,8ff80808,timeturtles,2026-04-10,08:57:33,-07:00,2026-04-10T08:57:33-07:00,0,0
style.css,32,css,8ff80808,timeturtles,2026-04-10,08:57:33,-07:00,2026-04-10T08:57:33-07:00,0,13
style.css,33,css,8ff80808,timeturtles,2026-04-10,08:57:33,-07:00,2026-04-10T08:57:33-07:00,1,25
style.css,34,css,f17a3134,timeturtles,2026-04-10,14:07:38,-07:00,2026-04-10T14:07:38-07:00,1,25
style.css,35,css,db7352ed,timeturtles,2026-04-16,23:31:49,-07:00,2026-04-16T23:31:49-07:00,1,39
style.css,36,css,f17a3134,timeturtles,2026-04-10,14:07:38,-07:00,2026-04-10T14:07:38-07:00,1,20
style.css,37,css,f17a3134,timeturtles,2026-04-10,14:07:38,-07:00,2026-04-10T14:07:38-07:00,0,0
style.css,38,css,f17a3134,timeturtles,2026-04-10,14:07:38,-07:00,2026-04-10T14:07:38-07:00,0,0
style.css,39,css,f17a3134,timeturtles,2026-04-10,14:07:38,-07:00,2026-04-10T14:07:38-07:00,0,11
style.css,40,css,f17a3134,timeturtles,2026-04-10,14:07:38,-07:00,2026-04-10T14:07:38-07:00,1,25
style.css,41,css,f17a3134,timeturtles,2026-04-10,14:07:38,-07:00,2026-04-10T14:07:38-07:00,1,25
style.css,42,css,f17a3134,timeturtles,2026-04-10,14:07:38,-07:00,2026-04-10T14:07:38-07:00,1,39
style.css,43,css,8ff80808,timeturtles,2026-04-10,08:57:33,-07:00,2026-04-10T08:57:33-07:00,1,20
style.css,44,css,db7352ed,timeturtles,2026-04-16,23:31:49,-07:00,2026-04-16T23:31:49-07:00,1,69
style.css,45,css,7e9a4c1b,timeturtles,2026-04-10,15:05:41,-07:00,2026-04-10T15:05:41-07:00,0,0
style.css,46,css,7e9a4c1b,timeturtles,2026-04-10,15:05:41,-07:00,2026-04-10T15:05:41-07:00,0,0
style.css,47,css,028e97d3,timeturtles,2026-04-30,23:16:46,-07:00,2026-04-30T23:16:46-07:00,0,16
style.css,48,css,107fe62b,timeturtles,2026-04-10,17:33:43,-07:00,2026-04-10T17:33:43-07:00,0,23
style.css,49,css,107fe62b,timeturtles,2026-04-10,17:33:43,-07:00,2026-04-10T17:33:43-07:00,1,12
style.css,50,css,107fe62b,timeturtles,2026-04-10,17:33:43,-07:00,2026-04-10T17:33:43-07:00,0,0
style.css,51,css,107fe62b,timeturtles,2026-04-10,17:33:43,-07:00,2026-04-10T17:33:43-07:00,0,0
style.css,52,css,7e9a4c1b,timeturtles,2026-04-10,15:05:41,-07:00,2026-04-10T15:05:41-07:00,0,4
style.css,53,css,7e9a4c1b,timeturtles,2026-04-10,15:05:41,-07:00,2026-04-10T15:05:41-07:00,1,12
style.css,54,css,7e9a4c1b,timeturtles,2026-04-10,15:05:41,-07:00,2026-04-10T15:05:41-07:00,1,30
style.css,55,css,7e9a4c1b,timeturtles,2026-04-10,15:05:41,-07:00,2026-04-10T15:05:41-07:00,1,7
style.css,56,css,7e9a4c1b,timeturtles,2026-04-10,15:05:41,-07:00,2026-04-10T15:05:41-07:00,0,0
style.css,57,css,7e9a4c1b,timeturtles,2026-04-10,15:05:41,-07:00,2026-04-10T15:05:41-07:00,0,0
style.css,58,css,7e9a4c1b,timeturtles,2026-04-10,15:05:41,-07:00,2026-04-10T15:05:41-07:00,0,10
style.css,59,css,7e9a4c1b,timeturtles,2026-04-10,15:05:41,-07:00,2026-04-10T15:05:41-07:00,1,12
style.css,60,css,7e9a4c1b,timeturtles,2026-04-10,15:05:41,-07:00,2026-04-10T15:05:41-07:00,1,29
style.css,61,css,7e9a4c1b,timeturtles,2026-04-10,15:05:41,-07:00,2026-04-10T15:05:41-07:00,1,18
style.css,62,css,181adb57,timeturtles,2026-04-10,15:31:03,-07:00,2026-04-10T15:31:03-07:00,0,0
style.css,63,css,181adb57,timeturtles,2026-04-10,15:31:03,-07:00,2026-04-10T15:31:03-07:00,0,0
style.css,64,css,028e97d3,timeturtles,2026-04-30,23:16:46,-07:00,2026-04-30T23:16:46-07:00,0,17
style.css,65,css,181adb57,timeturtles,2026-04-10,15:31:03,-07:00,2026-04-10T15:31:03-07:00,0,9
style.css,66,css,181adb57,timeturtles,2026-04-10,15:31:03,-07:00,2026-04-10T15:31:03-07:00,1,11
style.css,67,css,181adb57,timeturtles,2026-04-10,15:31:03,-07:00,2026-04-10T15:31:03-07:00,1,58
style.css,68,css,94849451,timeturtles,2026-04-10,21:50:18,-07:00,2026-04-10T21:50:18-07:00,1,7
style.css,69,css,8cd89fb5,timeturtles,2026-04-10,21:54:27,-07:00,2026-04-10T21:54:27-07:00,0,0
style.css,70,css,028e97d3,timeturtles,2026-04-30,23:16:46,-07:00,2026-04-30T23:16:46-07:00,1,23
style.css,71,css,107fe62b,timeturtles,2026-04-10,17:33:43,-07:00,2026-04-10T17:33:43-07:00,1,7
style.css,72,css,028e97d3,timeturtles,2026-04-30,23:16:46,-07:00,2026-04-30T23:16:46-07:00,2,12
style.css,73,css,028e97d3,timeturtles,2026-04-30,23:16:46,-07:00,2026-04-30T23:16:46-07:00,2,21
style.css,74,css,028e97d3,timeturtles,2026-04-30,23:16:46,-07:00,2026-04-30T23:16:46-07:00,2,30
style.css,75,css,107fe62b,timeturtles,2026-04-10,17:33:43,-07:00,2026-04-10T17:33:43-07:00,2,15
style.css,76,css,9d3f72a4,timeturtles,2026-04-24,03:02:49,-07:00,2026-04-24T03:02:49-07:00,2,3
style.css,77,css,9d3f72a4,timeturtles,2026-04-24,03:02:49,-07:00,2026-04-24T03:02:49-07:00,3,14
